nohup: ignoring input
wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /home/sagemaker-user/Molecular-Architect-RL/src/wandb/offline-run-20260624_165347-jsy947zl
wandb: View this run in the terminal with `wandb leet`
[0465] R=0.081 (std=0.368)  valid=1.000  uniq=1.000  div=0.691  kl=0.0177  clip=0.083  ev=0.000  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0470] R=0.170 (std=0.514)  valid=1.000  uniq=0.875  div=0.651  kl=0.0708  clip=0.094  ev=0.006  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0475] R=0.224 (std=0.728)  valid=1.000  uniq=0.750  div=0.586  kl=0.0128  clip=0.092  ev=-0.004  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0480] R=0.553 (std=1.992)  valid=1.000  uniq=0.875  div=0.751  kl=0.0070  clip=0.057  ev=0.023  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0485] R=0.576 (std=2.076)  valid=1.000  uniq=1.000  div=0.822  kl=0.0061  clip=0.028  ev=-0.008  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0490] R=0.564 (std=2.041)  valid=1.000  uniq=0.875  div=0.670  kl=0.0120  clip=0.036  ev=-0.001  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0495] R=0.458 (std=1.801)  valid=1.000  uniq=1.000  div=0.609  kl=0.0362  clip=0.073  ev=-0.030  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0500] R=0.252 (std=0.793)  valid=1.000  uniq=0.875  div=0.441  kl=0.2028  clip=0.082  ev=0.023  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0505] R=0.194 (std=1.072)  valid=1.000  uniq=1.000  div=0.922  kl=0.0606  clip=0.145  ev=0.136  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
[0510] R=0.338 (std=1.410)  valid=1.000  uniq=0.875  div=0.606  kl=0.0328  clip=0.088  ev=0.017  ent=0.010  curr=1.000  best=9.391  CCC(CN)C1CCCCCCCCC1
