================================================================================
MOLECULAR RL EXPERIMENT LOG
Date: 2026-02-16 16:10:51
================================================================================

HYPERPARAMETERS:
--------------------
lr                  : 0.0003
gamma               : 0.99
gae_lambda          : 0.95
clip_epsilon        : 0.2
entropy_coef        : 0.05
value_coef          : 0.5
batch_size          : 256
ppo_epochs          : 4
buffer_size         : 2048
hidden_dim          : 64
max_steps           : 30
input_feats         : 9
num_actions         : 8
edge_dim            : 4
num_envs            : 8
curriculum_start    : 50
curriculum_end      : 300
--------------------

TRAINING PROGRESS:
Update   | Reward   | Valid %  | Unique % | Div    | KL       | ExpVar   | Best SMILES (Sample)
------------------------------------------------------------------------------------------------

[INFO]: Started training on cuda
915      | 0.526    | 100.00   | 100.00   | 0.94   | 0.0034   | 0.162    | CC
920      | 0.542    | 100.00   | 100.00   | 0.94   | 0.0045   | 0.178    | C=NOOCOCC=NOOOOO
925      | 0.508    | 100.00   | 62.50    | 0.77   | 0.0046   | 0.159    | O=C=NN=NNONN=CCNOO
930      | 0.561    | 100.00   | 100.00   | 0.94   | 0.0027   | 0.178    | C=N
935      | 0.412    | 100.00   | 100.00   | 0.92   | 0.0078   | 0.170    | C=O
940      | 0.548    | 100.00   | 100.00   | 0.91   | 0.0029   | 0.174    | C=NNONC=CO
945      | 0.520    | 100.00   | 87.50    | 0.91   | 0.0039   | 0.194    | C=C
950      | 0.531    | 100.00   | 62.50    | 0.77   | 0.0043   | 0.172    | O=NON=NCON=C(O)NC=NCN=CONOO
955      | 0.562    | 100.00   | 100.00   | 0.92   | 0.0052   | 0.186    | C=CO
960      | 0.633    | 100.00   | 100.00   | 0.94   | 0.0064   | 0.200    | CNO
965      | 0.469    | 100.00   | 100.00   | 0.95   | 0.0050   | 0.171    | NOC=CONOCCOOCC=NC(=NNNN=NN=O)ON=O
970      | 0.354    | 100.00   | 100.00   | 0.93   | 0.0055   | 0.160    | C=NN(CCOOCCOCCC)ONC=N
975      | 0.550    | 100.00   | 100.00   | 0.91   | 0.0034   | 0.149    | COC
980      | 0.553    | 100.00   | 75.00    | 0.90   | 0.0046   | 0.170    | C=C=N
985      | 0.531    | 100.00   | 100.00   | 0.94   | 0.0049   | 0.157    | CCC
990      | 0.486    | 100.00   | 100.00   | 0.95   | 0.0030   | 0.165    | O=C=NN(CNOOON=O)ONOON=NOO
995      | 0.491    | 100.00   | 100.00   | 0.95   | 0.0021   | 0.143    | C=O

[INFO]: Training Finished Successfully.
